label,text
spam,"Congratulations! You've won a $1000 Walmart gift card. Click here to claim now!"
ham,"Hey, are we still on for lunch tomorrow? Let me know what time works for you."
spam,"URGENT: Your bank account has been compromised. Verify your identity immediately by clicking this link."
ham,"Thanks for sending over the project files. I'll review them and get back to you by Friday."
spam,"You have been selected for a special offer! Get 90% off on all medications. Order now!"
ham,"Don't forget about the team meeting at 3 PM today. See you in conference room B."
spam,"Dear valued customer, your package could not be delivered. Click here to reschedule delivery."
ham,"Can you please send me the report we discussed in yesterday's meeting? Thanks!"
spam,"You are the lucky winner of our lottery! Claim your prize of $5000 immediately."
ham,"I really enjoyed your presentation this morning. Would love to discuss it further over coffee."
spam,"Limited time offer! Buy one get one free on all electronics. Shop now before it's too late!"
ham,"Reminder: Your dentist appointment is scheduled for next Monday at 10 AM."
spam,"Your computer is infected with a virus! Download our antivirus software immediately."
ham,"Hi Mom, I'll be home for dinner tonight around 7. Can you save me some leftovers?"
spam,"Make money from home! Earn $5000 per week with this simple trick. Click to learn more."
ham,"The quarterly financial report is attached. Please review and provide your feedback."
spam,"WINNER ALERT! You've won a brand new iPhone 15. Claim within 24 hours or lose it forever."
ham,"Looking forward to our meeting next week. I've prepared the agenda and will send it shortly."
spam,"Your Amazon account has been locked due to suspicious activity. Verify now to unlock."
ham,"Happy birthday! Hope you have a wonderful day. Let's celebrate this weekend!"
spam,"Get rich quick! Invest in cryptocurrency and double your money in just one week."
ham,"The document you requested is ready. I'll drop it off at your office this afternoon."
spam,"CONGRATULATIONS! You qualify for a $50,000 loan with zero interest. Apply now!"
ham,"Thanks for your help with the presentation. The client was very impressed."
spam,"Your Netflix subscription has expired. Click here to renew and avoid service interruption."
ham,"Can you pick up some milk on your way home? We're all out. Thanks!"
spam,"You've been pre-approved for a credit card with $10,000 limit. No credit check required!"
ham,"The meeting has been rescheduled to Wednesday at 2 PM. Please update your calendar."
spam,"URGENT: IRS tax refund of $1,500 is waiting for you. Claim it now before it expires."
ham,"Great job on the project! The team really appreciated your hard work and dedication."
spam,"Lose 30 pounds in 30 days! Revolutionary weight loss pill. Order your free trial now."
ham,"I've reviewed the contract and have a few questions. Can we schedule a call to discuss?"
spam,"Your PayPal account has been limited. Click here immediately to restore full access."
ham,"Don't forget to submit your timesheet by end of day Friday. Let me know if you need help."
spam,"HOT SINGLES IN YOUR AREA! Click here to meet them now. 100% free registration."
ham,"The software update is scheduled for this weekend. Please save your work before Friday."
spam,"You've inherited $2 million from a distant relative. Contact us to claim your inheritance."
ham,"Could you please review the attached document and provide your comments by tomorrow?"
spam,"FINAL NOTICE: Your car warranty is about to expire. Renew now to maintain coverage."
ham,"The project deadline has been extended to next month. Take your time to do it right."
spam,"Free vacation to Hawaii! You've been selected as our lucky winner. Book now!"
ham,"I'll be out of office next week. Please contact Sarah for any urgent matters."
spam,"Your Microsoft Windows license has expired. Renew immediately to avoid losing access."
ham,"Thanks for the feedback on my proposal. I'll make the revisions and resend it."
spam,"BREAKING: Government stimulus checks are being sent out. Claim yours before they're gone!"
ham,"The team building event is next Friday. Please RSVP by Wednesday so we can finalize plans."
spam,"Your email account will be deleted unless you verify your password within 24 hours."
ham,"I found a great article about our industry. I'll forward it to you, I think you'll find it useful."
spam,"Earn passive income! Join our multi-level marketing program and achieve financial freedom."
ham,"Can you help me debug this code? I've been stuck on it for hours and could use fresh eyes."
spam,"ALERT: Suspicious activity detected on your credit card. Click here to secure your account."
ham,"The conference call went well. I've summarized the key points in the attached notes."
spam,"You've been approved for unemployment benefits. Click here to receive your payment."
ham,"Would you be interested in grabbing lunch next week? I'd love to catch up."
spam,"Your Google account has been hacked! Change your password immediately by clicking here."
ham,"The project is progressing nicely. We should be able to deliver ahead of schedule."
spam,"FREE MONEY! Government grants available. You may qualify for $25,000. Apply now!"
ham,"I've booked the conference room for our meeting next Tuesday at 10 AM."
spam,"Your Facebook account has been compromised. Verify your identity now to prevent deletion."
ham,"Thanks for your patience while we worked through those technical issues. Everything is fixed now."
spam,"LAST CHANCE: Buy our miracle supplement and cure all your health problems overnight."
ham,"The monthly report is due next Friday. Let me know if you need any data from my department."
spam,"You've been selected for a secret shopper position. Earn $500 per week working from home!"
ham,"I really appreciate your help with the presentation. I couldn't have done it without you."
spam,"Your Instagram account will be deleted. Verify your account now to prevent removal."
ham,"The new policy takes effect next month. Please review the attached document for details."
