date,temperature,humidity
2022-01-01,3.2,78
2022-01-02,2.8,82
2022-01-03,4.5,75
2022-01-04,5.1,71
2022-01-05,3.9,76
2022-01-06,2.5,85
2022-01-07,1.8,88
2022-01-08,3.4,80
2022-01-09,4.7,73
2022-01-10,5.9,68
2022-01-11,6.2,65
2022-01-12,5.8,69
2022-01-13,4.3,74
2022-01-14,3.1,79
2022-01-15,2.9,81
2022-01-16,4.2,76
2022-01-17,5.6,70
2022-01-18,6.8,64
2022-01-19,7.1,62
2022-01-20,6.5,66
2022-01-21,5.2,72
2022-01-22,4.8,74
2022-01-23,3.6,78
2022-01-24,2.7,83
2022-01-25,3.8,77
2022-01-26,5.3,71
2022-01-27,6.7,65
2022-01-28,7.4,61
2022-01-29,7.9,58
2022-01-30,7.2,63
2022-01-31,6.1,67
2022-02-01,5.4,71
2022-02-02,4.9,74
2022-02-03,4.1,77
2022-02-04,5.7,70
2022-02-05,6.9,64
2022-02-06,8.2,59
2022-02-07,8.8,56
2022-02-08,8.1,60
2022-02-09,7.3,65
2022-02-10,6.6,68
2022-02-11,5.8,72
2022-02-12,6.4,67
2022-02-13,7.6,62
2022-02-14,8.9,57
2022-02-15,9.5,54
2022-02-16,9.1,56
2022-02-17,8.3,61
2022-02-18,7.5,65
2022-02-19,6.9,68
2022-02-20,7.8,63
2022-02-21,8.7,58
2022-02-22,9.6,55
2022-02-23,10.2,52
2022-02-24,9.8,54
2022-02-25,8.9,59
2022-02-26,8.2,62
2022-02-27,7.7,65
2022-02-28,8.4,61
2022-03-01,9.3,57
2022-03-02,10.5,53
2022-03-03,11.2,50
2022-03-04,10.8,52
2022-03-05,9.9,56
2022-03-06,9.2,59
2022-03-07,10.1,55
2022-03-08,11.4,51
2022-03-09,12.3,48
2022-03-10,12.9,46
2022-03-11,12.4,48
2022-03-12,11.6,52
2022-03-13,10.8,55
2022-03-14,11.7,51
2022-03-15,12.8,47
2022-03-16,13.7,44
2022-03-17,14.2,42
2022-03-18,13.9,44
2022-03-19,13.1,47
2022-03-20,12.5,50
2022-03-21,13.3,46
2022-03-22,14.5,43
2022-03-23,15.4,40
2022-03-24,15.9,38
2022-03-25,15.6,40
2022-03-26,14.8,43
2022-03-27,14.2,46
2022-03-28,15.1,42
2022-03-29,16.2,39
2022-03-30,17.1,36
2022-03-31,17.5,35
2022-04-01,17.2,37
2022-04-02,16.5,40
2022-04-03,16.9,38
2022-04-04,17.8,35
2022-04-05,18.6,33
2022-04-06,19.3,31
2022-04-07,19.8,30
2022-04-08,19.4,32
2022-04-09,18.7,35
2022-04-10,18.2,37
2022-04-11,19.1,34
2022-04-12,20.3,31
2022-04-13,21.2,29
2022-04-14,21.7,28
2022-04-15,21.3,29
2022-04-16,20.6,32
2022-04-17,20.1,34
2022-04-18,21.0,31
2022-04-19,22.1,28
2022-04-20,22.9,26
2022-04-21,23.4,25
2022-04-22,23.0,27
2022-04-23,22.3,30
2022-04-24,21.8,32
2022-04-25,22.7,29
2022-04-26,23.8,27
2022-04-27,24.6,25
2022-04-28,25.1,24
2022-04-29,24.7,25
2022-04-30,24.0,28
2022-05-01,23.5,30
2022-05-02,24.4,27
2022-05-03,25.5,25
2022-05-04,26.3,23
2022-05-05,26.8,22
2022-05-06,26.4,24
2022-05-07,25.7,27
2022-05-08,25.2,29
2022-05-09,26.1,26
2022-05-10,27.2,24
2022-05-11,28.0,22
2022-05-12,28.5,21
2022-05-13,28.1,23
2022-05-14,27.4,26
2022-05-15,26.9,28
2022-05-16,27.8,25
2022-05-17,28.9,23
2022-05-18,29.7,21
2022-05-19,30.2,20
2022-05-20,29.8,22
2022-05-21,29.1,25
2022-05-22,28.6,27
2022-05-23,29.5,24
2022-05-24,30.6,22
2022-05-25,31.4,20
2022-05-26,31.9,19
2022-05-27,31.5,21
2022-05-28,30.8,24
2022-05-29,30.3,26
2022-05-30,31.2,23
2022-05-31,32.3,21
2022-06-01,33.1,19
2022-06-02,33.6,18
2022-06-03,33.2,20
2022-06-04,32.5,23
2022-06-05,32.0,25
2022-06-06,32.9,22
2022-06-07,34.0,20
2022-06-08,34.8,18
2022-06-09,35.3,17
2022-06-10,34.9,19
2022-06-11,34.2,22
2022-06-12,33.7,24
2022-06-13,34.6,21
2022-06-14,35.7,19
2022-06-15,36.5,17
2022-06-16,37.0,16
2022-06-17,36.6,18
